year,month,date,days_in_month
1984,12,1984-12-01,31
1985,1,1985-01-01,31
1985,2,1985-02-01,28
1985,3,1985-03-01,31
1985,4,1985-04-01,30
1985,5,1985-05-01,31
1985,6,1985-06-01,30
1985,7,1985-07-01,31
1985,8,1985-08-01,31
1985,9,1985-09-01,30
1985,10,1985-10-01,31
1985,11,1985-11-01,30
1985,12,1985-12-01,31
1986,1,1986-01-01,31
1986,2,1986-02-01,28
1986,3,1986-03-01,31
1986,4,1986-04-01,30
1986,5,1986-05-01,31
1986,6,1986-06-01,30
1986,7,1986-07-01,31
1986,8,1986-08-01,31
1986,9,1986-09-01,30
1986,10,1986-10-01,31
1986,11,1986-11-01,30
1986,12,1986-12-01,31
1987,1,1987-01-01,31
1987,2,1987-02-01,28
1987,3,1987-03-01,31
1987,4,1987-04-01,30
1987,5,1987-05-01,31
1987,6,1987-06-01,30
1987,7,1987-07-01,31
1987,8,1987-08-01,31
1987,9,1987-09-01,30
1987,10,1987-10-01,31
1987,11,1987-11-01,30
1987,12,1987-12-01,31
1988,1,1988-01-01,31
1988,2,1988-02-01,29
1988,3,1988-03-01,31
1988,4,1988-04-01,30
1988,5,1988-05-01,31
1988,6,1988-06-01,30
1988,7,1988-07-01,31
1988,8,1988-08-01,31
1988,9,1988-09-01,30
1988,10,1988-10-01,31
1988,11,1988-11-01,30
1988,12,1988-12-01,31
1989,1,1989-01-01,31
1989,2,1989-02-01,28
1989,3,1989-03-01,31
1989,4,1989-04-01,30
1989,5,1989-05-01,31
1989,6,1989-06-01,30
1989,7,1989-07-01,31
1989,8,1989-08-01,31
1989,9,1989-09-01,30
1989,10,1989-10-01,31
1989,11,1989-11-01,30
1989,12,1989-12-01,31
1990,1,1990-01-01,31
1990,2,1990-02-01,28
1990,3,1990-03-01,31
1990,4,1990-04-01,30
1990,5,1990-05-01,31
1990,6,1990-06-01,30
1990,7,1990-07-01,31
1990,8,1990-08-01,31
1990,9,1990-09-01,30
1990,10,1990-10-01,31
1990,11,1990-11-01,30
1990,12,1990-12-01,31
1991,1,1991-01-01,31
1991,2,1991-02-01,28
1991,3,1991-03-01,31
1991,4,1991-04-01,30
1991,5,1991-05-01,31
1991,6,1991-06-01,30
1991,7,1991-07-01,31
1991,8,1991-08-01,31
1991,9,1991-09-01,30
1991,10,1991-10-01,31
1991,11,1991-11-01,30
